a,,&#xe000;
akesi,,&#xe001;
ala,,&#xe002;
alasa,,&#xe003;
ale,,&#xe004;
anpa,,&#xe005;
ante,,&#xe006;
anu,,&#xe007;
awen,,&#xe008;
e,,&#xe009;
en,,&#xe00a;
esun,,&#xe00b;
ijo,,&#xe00c;
ike,,&#xe00d;
ilo,,&#xe00e;
insa,,&#xe00f;
jaki,,&#xe010;
jan,,&#xe011;
jelo,,&#xe012;
jo,,&#xe013;
kala,,&#xe014;
kalama,,&#xe015;
kama,,&#xe016;
kasi,,&#xe017;
ken,,&#xe018;
kepeken,,&#xe019;
kili,,&#xe01a;
kiwen,,&#xe01b;
ko,,&#xe01c;
kon,,&#xe01d;
kule,,&#xe01e;
kulupu,,&#xe01f;
kute,,&#xe020;
la,,&#xe021;
lape,,&#xe022;
laso,,&#xe023;
lawa,,&#xe024;
len,,&#xe025;
lete,,&#xe026;
li,,&#xe027;
lili,,&#xe028;
linja,,&#xe029;
lipu,,&#xe02a;
loje,,&#xe02b;
luka,,&#xe02c;
lukin,,&#xe02d;
lupa,,&#xe02e;
ma,,&#xe02f;
mani,,&#xe030;
meli,,&#xe031;
mi,,&#xe032;
mije,,&#xe033;
moku,,&#xe034;
moli,,&#xe035;
monsi,,&#xe036;
mu,,&#xe037;
mun,,&#xe038;
musi,,&#xe039;
mute,,&#xe03a;
nanpa,,&#xe03b;
nasa,,&#xe03c;
nasin,,&#xe03d;
nena,,&#xe03e;
ni,,&#xe03f;
nimi,,&#xe040;
noka,,&#xe041;
o,,&#xe042;
olin,,&#xe043;
ona,,&#xe044;
open,,&#xe045;
pakala,,&#xe046;
pali,,&#xe047;
palisa,,&#xe048;
pan,,&#xe049;
pana,,&#xe04a;
pi,,&#xe04b;
pilin,,&#xe04c;
pimeja,,&#xe04d;
pini,,&#xe04e;
pipi,,&#xe04f;
poka,,&#xe050;
poki,,&#xe051;
pona,,&#xe052;
pu,,&#xe053;
sama,,&#xe054;
seli,,&#xe055;
selo,,&#xe056;
seme,,&#xe057;
sewi,,&#xe058;,&#xe059;
sijelo,,&#xe05a;
sike,,&#xe05b;
sin,,&#xe05c;
sina,,&#xe05d;
sinpin,,&#xe05e;
sitelen,,&#xe05f;
sona,,&#xe060;
soweli,,&#xe061;
suli,,&#xe062;
suno,,&#xe063;
supa,,&#xe064;
suwi,,&#xe065;
tan,,&#xe066;
taso,,&#xe067;
tawa,,&#xe068;
telo,,&#xe069;
tenpo,,&#xe06a;
toki,,&#xe06b;
tomo,,&#xe06c;
tu,,&#xe06d;
unpa,,&#xe06e;
uta,,&#xe06f;
utala,,&#xe070;
walo,,&#xe071;
wan,,&#xe072;
waso,,&#xe073;
wawa,,&#xe074;
weka,,&#xe075;
wile,,&#xe076;
epiku,,&#xe077;
jasima,,&#xe078;
kijetesantakalu,,&#xe079;
kin,,&#xe07a;
kipisi,,&#xe07b;
kokosila,,&#xe07c;
ku,,&#xe07d;
lanpan,,&#xe07e;
meso,,&#xe07f;
misikeke,,&#xe080;
monsuta,,&#xe081;
n,,&#xe082;
namako,,&#xe083;
oko,,&#xe084;
soko,,&#xe085;
tonsi,,&#xe086;
apeja,,&#xe087;
ete,,&#xe088;,&#xe089;
ewe,,&#xe08a;
isipin,,&#xe08b;
ju,,&#xe08c;
kalamARR,,&#xe08d;
kamalawala,,&#xe08e;
kan,,&#xe08f;
kapesi,,&#xe090;,&#xe091;
ke,,&#xe092;
kese,,&#xe093;
kiki,,&#xe094;
kulijo,,&#xe095;
kuntu,,&#xe096;
likujo,,&#xe097;
linluwi,,&#xe098;
loka,,&#xe099;
lu,,&#xe09a;
majuna,,&#xe09b;
misa,,&#xe09c;
mulapisu,,&#xe09d;
neja,,&#xe09e;
nu,,&#xe09f;
oke,,&#xe0a0;
pake,,&#xe0a1;
pata,,&#xe0a2;
peto,,&#xe0a3;
Pingo,,&#xe0a4;
po,,&#xe0a5;
polinpin,,&#xe0a6;
pomotolo,,&#xe0a7;
powe,,&#xe0a8;
samu,,&#xe0a9;
san,,&#xe0aa;
soto,,&#xe0ab;
su,,&#xe0ac;
sutopatikuna,,&#xe0ad;
taki,,&#xe0ae;
te,,&#xe0af;
teje,,&#xe0b0;
to,,&#xe0b1;
tuli,,&#xe0b2;
u,,&#xe0b3;
umesu,,&#xe0b4;
unu,,&#xe0b5;
usawi,,&#xe0b6;
wa,,&#xe0b7;
waleja,,&#xe0b8;
wasoweli,,&#xe0b9;
yupekosi,,&#xe0ba;
aka,,&#xe0bb;
ako,,&#xe0bc;
aku,,&#xe0bd;
alente,,&#xe0be;
alu,,&#xe0bf;
an,,&#xe0c0;
ana,,&#xe0c1;
ani<br>(wi),,&#xe0c2;
anta,,&#xe0c3;
antikontitutonelema,,&#xe0c4;,&#xe0c5;
apeli,,&#xe0c6;
api,,&#xe0c7;
asa,,&#xe0c8;
ata,,&#xe0c9;
awase,,&#xe0ca;
eki,,&#xe0cb;
elen,,&#xe0cc;
eliki,,&#xe0cd;
ene,,&#xe0ce;
enepi,,&#xe0cf;
eni,,&#xe0d0;
enko,,&#xe0d1;,&#xe0d2;,&#xe0d3;
epikule,,&#xe0d4;
epikulijo,,&#xe0d5;
i,,&#xe0d6;
iki,,&#xe0d7;
inta,,&#xe0d8;
ipi,,&#xe0d9;
iseki,,&#xe0da;
isi,,&#xe0db;
itomi,,&#xe0dc;
ja,,&#xe0dd;
jaku,,&#xe0de;
jalan,,&#xe0df;
jami,,&#xe0e0;
jans,,&#xe0e1;
jansoweli,,&#xe0e2;
jaso,,&#xe0e3;
je,,&#xe0e4;
jitin,,&#xe0e5;
joku,,&#xe0e6;
jonke,,&#xe0e7;
jule,,&#xe0e8;
jume,,&#xe0e9;
juna,,&#xe0ea;
jupi,,&#xe0eb;
ka,,&#xe0ec;
kalapisituwi,,&#xe0ed;
kalijopilale,,&#xe0ee;
kana,,&#xe0ef;
kankuli,,&#xe0f0;
kapa,,&#xe0f1;
kepa,,&#xe0f2;
ki,,&#xe0f3;
kijesankalu,,&#xe0f4;
kijoke,,&#xe0f5;
kijosin,,&#xe0f6;
kikolo,,&#xe0f7;
kikulo,,&#xe0f8;
kilu,,&#xe0f9;
kinute,,&#xe0fa;
kisa,,&#xe0fb;
kl,,&#xe0fc;
kokoliko,,&#xe0fd;
kolo,,&#xe0fe;
koni<br>(ki),,&#xe0ff;
konsi,,&#xe100;
konwe,,&#xe101;
kosan,,&#xe102;
kosikosa,,&#xe103;
kulaso,,&#xe104;
kulepiku,,&#xe105;
kulu,,&#xe106;
kutopoma,,&#xe107;
lansan,,&#xe108;
lanu,,&#xe109;
lato,,&#xe10a;
lijokuku,,&#xe10b;,&#xe10c;
lisana,,&#xe10d;,&#xe10e;
lo<br>(lu),,&#xe10f;
lokon,,&#xe110;
mamasina,,&#xe111;
masalo,,&#xe112;
masenta,,&#xe113;
masu,,&#xe114;
matula,,&#xe115;
me,,&#xe116;
melome,,&#xe117;
mijomi,,&#xe118;
miko,,&#xe119;,&#xe11a;
molusa,,&#xe11b;
nalanja,,&#xe11c;,&#xe11d;
nan,,&#xe11e;
natu,,&#xe11f;
nele,,&#xe120;
nimisin,,&#xe121;
nita,,&#xe122;
nja,,&#xe123;
nowi,,&#xe124;
nu2,,&#xe125;
nula,,&#xe126;
nusun,,&#xe127;
ojuta,,&#xe128;
okepuma,,&#xe129;
oki,,&#xe12a;
olala,,&#xe12b;
omekalike,,&#xe12c;
omekapo,,&#xe12d;
omen,,&#xe12e;
oni,,&#xe12f;,&#xe130;
opasan,,&#xe131;
ote,,&#xe132;
owe,,&#xe133;
pa,,&#xe134;
pakola,,&#xe135;,&#xe136;
panke,,&#xe137;
pasila,,&#xe138;
penpo,,&#xe139;
peta,,&#xe13a;
pika,,&#xe13b;,&#xe13c;
pipo,,&#xe13d;
pipolo,,&#xe13e;
pokasi,,&#xe13f;
poni,,&#xe140;,&#xe141;
pulaso,,&#xe142;
puwa,,&#xe143;
saja,,&#xe144;
sala,,&#xe145;
sapelipope,,&#xe146;
sikako,,&#xe147;
sikomo,,&#xe148;
silapa,,&#xe149;
sipi,,&#xe14a;
sipije,,&#xe14b;
sisi,,&#xe14c;
siwala,,&#xe14d;
slape,,&#xe14e;
snoweli,,&#xe14f;
soni<br>(si),,&#xe150;
sowepipi,,&#xe151;
sowoli,,&#xe152;
su2,,&#xe153;
sulaso,,&#xe154;
susu,,&#xe155;
ta,,&#xe156;
tasun,,&#xe157;
tejetekone,,&#xe158;
teken,,&#xe159;
ten,,&#xe15a;
tokana,,&#xe15b;,&#xe15c;
tona,,&#xe15d;
topo,,&#xe15e;
tuwa,,&#xe15f;
ulu,,&#xe160;
waken,,&#xe161;
wawajete,,&#xe162;
we<br>(content word),,&#xe163;
we<br>(particle),,&#xe164;
wekama,,&#xe165;
wi,,&#xe166;
wiju,,&#xe167;
wiki,,&#xe168;
wuwojiti,,&#xe169;
yutu,,&#xe16a;
arrowhead radical ,,&#xe16b;
arrow radical ,,&#xe16c;
box or crosshair radical ,,&#xe16d;
circle radical ,,&#xe16e;
closed box radical ,,&#xe16f;
closed triangle radical ,,&#xe170;
comma radical ,,&#xe171;
cross radical ,,&#xe172;
dot radical ,,&#xe173;
double dot radical ,,&#xe174;
emitters radical ,,&#xe175;
exclamation line radical ,,&#xe176;
frowning mouth radical ,,&#xe177;
hammer radical ,,&#xe178;
hand radical ,,&#xe179;
heart radical ,,&#xe17a;
horizontal line radical ,,&#xe17b;
left open box radical ,,&#xe17c;
leftwards or downwards<br>arrowhead radical ,,&#xe17d;
open box radical ,,&#xe17e;
open mouth radical ,,&#xe17f;
open triangle radical ,,&#xe180;
pointing hand radical ,,&#xe181;
right open box radical ,,&#xe182;
semicircle radical ,,&#xe183;
smiling mouth radical ,,&#xe184;
upwards or rightwards<br>arrowhead radical ,,&#xe185;
vertical line radical ,,&#xe186;
wavy line radical,,&#xe187;
leko,,&#xe192
lon,,&#xe1f1
mama,,&#xe1f2
