a,,&#xf3f0;
akesi,,&#xf3f1;
ala,,&#xf3f2;
alasa,,&#xf3f3;
ale,,&#xf3f4;
anpa,,&#xf3f5;
ante,,&#xf3f6;
anu,,&#xf3f7;
awen,,&#xf3f9;
e,,&#xf3fa;
en,,&#xf3fb;
esun,,&#xf3fc;
ijo,,&#xf3fd;
ike,,&#xf3fe;
ilo,,&#xf3ff;
insa,,&#xf400;
jaki,,&#xf401;
jan,,&#xf402;
jelo,,&#xf403;
jo,,&#xf404;
kala,,&#xf405;
kalama,,&#xf406;
kama,,&#xf407;
kasi,,&#xf408;
ken,,&#xf409;
kepeken,,&#xf40a;
kili,,&#xf40c;
kiwen,,&#xf40f;
ko,,&#xf410;
kon,,&#xf411;
kule,,&#xf412;
kulupu,,&#xf413;
kute,,&#xf414;
la,,&#xf415;
lape,,&#xf416;
laso,,&#xf417;
lawa,,&#xf418;
len,,&#xf41a;
lete,,&#xf41b;
li,,&#xf41c;
lili,,&#xf41d;
linja,,&#xf41e;
lipu,,&#xf41f;
loje,,&#xf420;
lon,,&#xf421;
luka,,&#xf422;
lukin,,&#xf423;
lupa,,&#xf424;
ma,,&#xf425;
mama,,&#xf426;
mani,,&#xf427;
meli,,&#xf428;
mi,,&#xf429;
mije,,&#xf42a;
moku,,&#xf42b;
moli,,&#xf42c;
monsi,,&#xf42d;
mu,,&#xf42f;
mun,,&#xf430;
musi,,&#xf431;
mute,,&#xf432;
nanpa,,&#xf434;
nasa,,&#xf435;
nasin,,&#xf436;
nena,,&#xf437;
ni,,&#xf438;
nimi,,&#xf439;
noka,,&#xf43a;
o,,&#xf43b;
olin,,&#xf43d;
ona,,&#xf43e;
open,,&#xf43f;
pakala,,&#xf440;
pali,,&#xf442;
palisa,,&#xf443;
pan,,&#xf444;
pana,,&#xf445;
pi,,&#xf446;
pilin,,&#xf447;
pimeja,,&#xf448;
pini,,&#xf449;
pipi,,&#xf44a;
poka,,&#xf44b;
poki,,&#xf44c;
pona,,&#xf44d;
pu,,&#xf44e;
sama,,&#xf44f;
seli,,&#xf450;
selo,,&#xf451;
seme,,&#xf452;
sewi,,&#xf453;
sijelo,,&#xf454;
sike,,&#xf455;
sin,,&#xf456;
sina,,&#xf457;
sinpin,,&#xf458;
sitelen,,&#xf459;
sona,,&#xf45a;
soweli,,&#xf45b;
suli,,&#xf45c;
suno,,&#xf45d;
supa,,&#xf45e;
suwi,,&#xf45f;
tan,,&#xf460;
taso,,&#xf461;
tawa,,&#xf462;
telo,,&#xf463;
tenpo,,&#xf464;
toki,,&#xf465;
tomo,,&#xf466;
tu,,&#xf468;
unpa,,&#xf469;
uta,,&#xf46a;
utala,,&#xf46b;
walo,,&#xf46c;
wan,,&#xf46d;
waso,,&#xf46e;
wawa,,&#xf46f;
weka,,&#xf470;
wile,,&#xf471;
epiku,,&#xf476;
jasima,,&#xf477;
kijetesantakalu,,&#xf40B;
kin,,&#xf40d;
kipisi,,&#xf40e;
kokosila,,&#xf478;
ku,,&#xf479;
lanpan,,&#xf47a;
leko,,&#xF419;
meso,,&#xf47b;
misikeke,,&#xf47c;
monsuta,,&#xf42e;
n,,&#xf47d;
namako,,&#xf433;
oko,,&#xf43c;
soko,,&#xf47e;
tonsi,,&#xf467;
apeja,,&#xf3f8;
isipin,,&#xf47f;
kiki,,&#xf485;
linluwi,,&#xf480;
majuna,,&#xf484;
pake,,&#xf441;
powe,,&#xf481;
soto,,&#xf482;
teje,,&#xf483;
cartouche open,,&#xF473;
cartouche end,,&#xF475;
cartouche extension,,&#xF474;
scaling combiner<br>(UCSUR only),,&#xF472;
