a,,&#xe000;,&#xF000;
akesi,,&#xe001;,&#xF001;
ala,,&#xe002;
alasa,,&#xe003;,&#xF003;
ale,,&#xe004;
anpa,,&#xe005;
ante,,&#xe006;,&#xF006;
anu,,&#xe007;
awen,,&#xe008;
e,,&#xe009;
en,,&#xe00a;
esun,,&#xe00b;
ijo,,&#xe00c;
ike,,&#xe00d;
ilo,,&#xe00e;
insa,,&#xe00f;
jaki,,&#xe010;,&#xF010;
jan,,&#xe011;
jelo,,&#xe012;
jo,,&#xe013;,&#xF013;
kala,,&#xe014;,&#xF014;
kalama,,&#xe015;
kama,,&#xe016;
kasi,,&#xe017;
ken,,&#xe018;
kepeken,,&#xe019;
kili,,&#xe01a;
kiwen,,&#xe01b;
ko,,&#xe01c;
kon,,&#xe01d;
kule,,&#xe01e;
kulupu,,&#xe01f;
kute,,&#xe020;,&#xF020;
la,,&#xe021;
lape,,&#xe022;
laso,,&#xe023;
lawa,,&#xe024;,&#xF024;
len,,&#xe025;
lete,,&#xe026;
li,,&#xe027;
lili,,&#xe028;,&#xF028;
linja,,&#xe029;
lipu,,&#xe02a;
loje,,&#xe02b;
lon,,&#xe02c;
luka,,&#xe02d;
lukin,,&#xe02e;
lupa,,&#xe02f;,&#xF02f;
ma,,&#xe030;
mama,,&#xe031;
mani,,&#xe032;
meli,,&#xe033;,&#xF033;
mi,,&#xe034;
mije,,&#xe035;,&#xF035;
moku,,&#xe036;
moli,,&#xe037;,&#xF037;
monsi,,&#xe038;,&#xF038;
mu,,&#xe039;
mun,,&#xe03a;
musi,,&#xe03b;,&#xF039;
mute,,&#xe03c;
nanpa,,&#xe03d;
nasa,,&#xe03e;
nasin,,&#xe03f;
nena,,&#xe040;,&#xF040;
ni,,&#xe041;,&#xF041;
nimi,,&#xe042;,&#xF042;
noka,,&#xe043;,&#xF043;
o,,&#xe044;,&#xF044;
olin,,&#xe045;,&#xF045;
ona,,&#xe046;
open,,&#xe047;
pakala,,&#xe048;
pali,,&#xe049;
palisa,,&#xe04a;,&#xF04a;
pan,,&#xe04b;,&#xF04b;
pana,,&#xe04c;
pi,,&#xe04d;
pilin,,&#xe04e;
pimeja,,&#xe04f;
pini,,&#xe050;
pipi,,&#xe051;,&#xF051;
poka,,&#xe052;
poki,,&#xe053;
pona,,&#xe054;
pu,,&#xe055;
sama,,&#xe056;
seli,,&#xe057;
selo,,&#xe058;
seme,,&#xe059;,&#xF059;
sewi,,&#xe05a;,&#xF05a;
sijelo,,&#xe05b;
sike,,&#xe05c;
sin,,&#xe05d;
sina,,&#xe05e;
sinpin,,&#xe05f;,&#xF05f;
sitelen,,&#xe060;,&#xF060;
sona,,&#xe061;
soweli,,&#xe062;,&#xF062;
suli,,&#xe063;
suno,,&#xe064;
supa,,&#xe065;
suwi,,&#xe066;
tan,,&#xe067;
taso,,&#xe068;
tawa,,&#xe069;
telo,,&#xe06a;
tenpo,,&#xe06b;
toki,,&#xe06c;
tomo,,&#xe06d;
tu,,&#xe06e;
unpa,,&#xe06f;
uta,,&#xe070;,&#xF070;
utala,,&#xe071;
walo,,&#xe072;
wan,,&#xe073;
waso,,&#xe074;
wawa,,&#xe075;,&#xF075;
weka,,&#xe076;
wile,,&#xe077;,&#xF077;
epiku,,&#xe0a0;,&#xF0a0;
jasima,,&#xe0a1;
kijetesantakalu,,&#xe088;,&#xF088;
kin,,&#xe089;,&#xF089;
kipisi,,&#xe08a;
kokosila,,&#xe0a2;,&#xF0a2;
ku,,&#xe0a3;
lanpan,,&#xe0a4;,&#xF0a4;
leko,,&#xe08b;
meso,,&#xe0a5;
misikeke,,&#xe08d;
monsuta,,&#xe08e;,&#xF08e;
n,,&#xe0a6;
namako,,&#xe08f;
oko,,&#xe090;,&#xF090;
soko,,&#xe0a7;
tonsi,,&#xe0a8;
apeja,,&#xe081;,&#xF081;
kan,,&#xe085;
kapesi,,&#xe087;
majuna,,&#xe08c;
pake,,&#xe091;
pata,,&#xe093;
po,,&#xe094;
powe,,&#xe095;
sutopatikuna,,&#xe096;
tuli,,&#xe097;
yupekosi,,&#xe0a9;
iki,,&#xe082;
ipi,,&#xe083;
jalan,,&#xe084;
kapa,,&#xe086;
pasila,,&#xe092;
cartouche open,,[
cartouche end,,]
