a,,&#x110;
akesi,,&#x115;
ala,,&#x177;
alasa,,&#x179;
ale,,&#x13e;
anpa,,&#x149;
ante,,&#x11b;
anu,,&#x109;
awen,,&#x116;
e,,&#x103;
en,,&#x122;
esun,,&#x17a;
ijo,,&#x119;
ike,,&#x11d;
ilo,,&#x11a;
insa,,&#x11c;
jaki,,&#x11e;
jan,,&#x11f;
jelo,,&#x12c;
jo,,&#x10f;
kala,,&#x123;
kalama,,&#x124;
kama,,&#x117;
kasi,,&#x125;
ken,,&#x10c;
kepeken,,&#x120;
kili,,&#x126;
kiwen,,&#x127;
ko,,&#x128;
kon,,&#x129;
kule,,&#x12a;
kulupu,,&#x130;
kute,,&#x131;
la,,&#x107;
lape,,&#x132;
laso,,&#x12b;
lawa,,&#x133;
len,,&#x134;
lete,,&#x135;
li,,&#x102;
lili,,&#x136;
linja,,&#x137;
lipu,,&#x138;
loje,,&#x12d;
lon,,&#x10a;
luka,,&#x13c;
lukin,,&#x114;
lupa,,&#x13f;
ma,,&#x140;
mama,,&#x141;
mani,,&#x142;
meli,,&#x143;
mi,,&#x101;
mije,,&#x144;
moku,,&#x145;
moli,,&#x146;
monsi,,&#x14b;
mu,,&#x14c;
mun,,&#x14d;
musi,,&#x14e;
mute,,&#x13d;
nanpa,,&#x139;
nasa,,&#x14f;
nasin,,&#x150;
nena,,&#x151;
ni,,&#x10b;
nimi,,&#x152;
noka,,&#x153;
o,,&#x10e;
olin,,&#x154;
ona,,&#x105;
open,,&#x155;
pakala,,&#x156;
pali,,&#x157;
palisa,,&#x158;
pan,,&#x178;
pana,,&#x159;
pi,,&#x10d;
pilin,,&#x15a;
pimeja,,&#x12e;
pini,,&#x15b;
pipi,,&#x15c;
poka,,&#x14a;
poki,,&#x15d;
pona,,&#x15e;
pu,,&#x100;
sama,,&#x15f;
seli,,&#x160;
selo,,&#x161;
seme,,&#x162;
sewi,,&#x148;
sijelo,,&#x163;
sike,,&#x164;
sin,,&#x111;
sina,,&#x104;
sinpin,,&#x147;
sitelen,,&#x165;
sona,,&#x166;
soweli,,&#x167;
suli,,&#x168;
suno,,&#x169;
supa,,&#x16a;
suwi,,&#x16b;
tan,,&#x106;
taso,,&#x108;
tawa,,&#x118;
telo,,&#x16c;
tenpo,,&#x16d;
toki,,&#x16e;
tomo,,&#x16f;
tu,,&#x13b;
unpa,,&#x170;
uta,,&#x171;
utala,,&#x172;
walo,,&#x12f;
wan,,&#x13a;
waso,,&#x173;
wawa,,&#x174;
weka,,&#x175;
wile,,&#x176;
jasima,,&#x19b;
kijetesantakalu,,&#x185;
kin,,&#x121;
kipisi,,&#x18a;
lanpan,,&#x19a;
leko,,&#x186;
monsuta,,&#x188;
namako,,&#x112;
oko,,&#x113;
tonsi,,&#x19f;
apeja,,&#x180;
mulapisu,,&#x189;
pake,,&#x192;
po,,&#x18d;
powe,,&#x18e;
teje,,&#x197;
tuli,,&#x18f;
alu,,&#x195;
iki,,&#x181;
jalan,,&#x191;
kapa,,&#x183;
pasila,,&#x18b;
cartouche open,,[
cartouche end,,]
