"font","file","style"
"linja lape suwi","linjalapesuwi.otf","alphabet"
"linja pi kama wan","linja-pi-kama-wan.ttf","alphabet"
"linja pi kute mute","linja-pi-kute-mute.otf","alphabet"
"linja pi kute mute tu","linja-pi-kute-mute-tu.ttf","alphabet"
"linja sike pi kute mute","linjasikepikutemute-Regular.ttf","alphabet"
"sitelen komalin","sitelen-komalin.ttf","alphabet"
"sitelen leko kiki","sitelen-leko-kiki.otf","alphabet"
"sitelen leko ko","sitelen-leko-ko.ttf","alphabet"
"sitelen suwi ko","sitelensuwiko_4.otf","alphabet"
"sitelen uta","sitelen-uta.ttf","alphabet"
"Toki Pona Seta Sans","TokiPonaSetaSans-Regular2.otf","alphabet"
"Toki Tengwar","TokiTengwar.ttf","alphabet"
"sitelen lili","sitelenlili.ttf","alphabet"
"sitelen palisa sewi","sitelen-palisa-sewi.ttf","alphabet"
"sitelen nasin luka","sitelennasinluka-Regular.otf","alphabet"
"Wisteria","Wisteria-Sans-Serif.ttf","alphabet"
"Nashjy Masrhyn pi toki pona","Nashjy_Masrhyn_pi_toki_pona.otf","alphabet"
"FauxSP","FauxSP.otf","alphabet"
"nasin usawi","nasin_usawi(pixel_forge).ttf","alphabet"
"sitelen noka","Sitelennoka2-Regular.otf","alphabet"
