a,ucsur,&x#F1C40;
ala,ucsur,&x#F1C41;
i,ucsur,&x#F1C42;
iku,ucsur,&x#F1C43;
ilu,ucsur,&x#F1C44;
ka,ucsur,&x#F1C45;
kati,ucsur,&x#F1C46;
ki,ucsur,&x#F1C47;
kiku,ucsur,&x#F1C48;
ku,ucsur,&x#F1C49;
la,ucsur,&x#F1C4A;
lapi,ucsur,&x#F1C4B;
li,ucsur,&x#F1C4C;
lika,ucsur,&x#F1C4D;
lili,ucsur,&x#F1C4E;
lu,ucsur,&x#F1C4F;
lupa,ucsur,&x#F1C50;
mi,ucsur,&x#F1C51;
muku,ucsur,&x#F1C52;
muti,ucsur,&x#F1C53;
paka,ucsur,&x#F1C54;
pali,ucsur,&x#F1C55;
puka,ucsur,&x#F1C56;
pula,ucsur,&x#F1C57;
taka,ucsur,&x#F1C58;
tama,ucsur,&x#F1C59;
tiki,ucsur,&x#F1C5A;
tiku,ucsur,&x#F1C5B;
tila,ucsur,&x#F1C5C;
tilu,ucsur,&x#F1C5D;
timi,ucsur,&x#F1C5E;
tipi,ucsur,&x#F1C5F;
titi,ucsur,&x#F1C60;
tu,ucsur,&x#F1C61;
tuki,ucsur,&x#F1C62;
tula,ucsur,&x#F1C63;
tulu,ucsur,&x#F1C64;
uli,ucsur,&x#F1C65;
upi,ucsur,&x#F1C66;
